seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671gy00d133ynvzwubv9m","Asilbek To'xtasinov","UZ1-2026-NEFTCHIF-028","Neftchi Fergana","MF","","Nurillo Tukhtasinov","486759","Dinamo Samarqand","0.588","false","true","false","Asilbek Numonov","1079573","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671er009j33yngr4gawia","Asliddin Tursunpulatov","UZ1-2026-NASAFQAR-028","Nasaf Qarshi","MF","","Shamsiddin Tursunmakhamadov","1401673","Bunyodkor Tashkent","0.600","false","false","false","Asliddin Toshtemirov","629996","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ii00gr33ynihyijvqq","Avazxon Mamatxojaev","UZ1-2026-KOKAND19-021","Kokand 1912","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671fn00b733ynjw5ci7jz","Azimjon Akhmedov","UZ1-2026-NAVBAHOR-018","Navbahor Namangan","MF","","Azizjon Akhrorov","1188359","Xorazm Urganch","0.714","false","false","false","Narimonjon Akhmadjonov","1082385","AMBIGUOUS"
"cmtr671be002h33yngigx7yc6","Aziz Ibragimov","UZ1-2026-BUXORO-004","Buxoro","MF","","Valizhon Rakhimov","754022","Navbahor Namangan","0.600","false","false","false","Alisher Salimov","651311","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671gp00cn33ynul0xmeus","Azizbek Erimbetov","UZ1-2026-NEFTCHIF-018","Neftchi Fergana","MF","","Azizbek Tulkinbekov","1077648","Bunyodkor Tashkent","0.667","false","true","false","Azizbek Amanov","517918","AMBIGUOUS"
"cmtr671jx00kf33ynp5brcexx","Azizbek Haydarov","UZ1-2026-LOKOMOTI-024","Lokomotiv Tashkent","MF","","Azizbek Amanov","517918","Dinamo Samarqand","0.733","false","false","false","Amirbek Saidov","1079580","AMBIGUOUS"
"cmtr671ij00gv33yndg8r4ro0","Bahodir Pardaev","UZ1-2026-KOKAND19-023","Kokand 1912","FW","","Bakhodir Nasimov","143820","Dinamo Samarqand","0.643","false","true","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ef008r33yntmfju0no","Bakhodir Khalilov","UZ1-2026-NASAFQAR-014","Nasaf Qarshi","DF","","Bakhodir Nasimov","143820","Dinamo Samarqand","0.786","false","false","false","","","AMBIGUOUS"
"cmtr671eu009r33yn2jx3dg2i","Bakhrom Abdurakhimov","UZ1-2026-NASAFQAR-034","Nasaf Qarshi","MF","","Shokhrukh Abdurakhmonov","661557","Navbahor Namangan","0.579","false","true","false","Sardor Abduraimov","492567","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
