playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl
"cmtr671k800lf33ynplrltvfp","Donier Usmanov","seed:UZ1-2026-LOKOMOTI-042","seed://uz1/UZ1-2026-LOKOMOTI-042","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-042","Donier Usmanov","Lokomotiv Tashkent","FW","2026",""
"cmtr671fp00bd33yntj2nu5mz","Doston Abdulkhaev","seed:UZ1-2026-NAVBAHOR-022","seed://uz1/UZ1-2026-NAVBAHOR-022","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NAVBAHOR-022","Doston Abdulkhaev","Navbahor Namangan","MF","2026",""
"cmtr671gg00cd33yn4776pdi8","Elsevarbek Olimov","seed:UZ1-2026-NEFTCHIF-008","seed://uz1/UZ1-2026-NEFTCHIF-008","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NEFTCHIF-008","Elsevarbek Olimov","Neftchi Fergana","DF","2026",""
"cmtr671db006533ynpepk067u","Farrukh Ikramov","seed:UZ1-2026-DINAMOSA-021","seed://uz1/UZ1-2026-DINAMOSA-021","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-DINAMOSA-021","Farrukh Ikramov","Dinamo Samarkand","MF","2026",""
"cmtr671gx00cz33yn7qhsxcwv","Francisco Jurani","seed:UZ1-2026-NEFTCHIF-027","seed://uz1/UZ1-2026-NEFTCHIF-027","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NEFTCHIF-027","Francisco Jurani","Neftchi Fergana","MF","2026",""
"cmtr671f600af33ynb3k1m5kt","Hurshid Huzaev","seed:UZ1-2026-NAVBAHOR-003","seed://uz1/UZ1-2026-NAVBAHOR-003","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NAVBAHOR-003","Hurshid Huzaev","Navbahor Namangan","GK","2026",""
"cmtr671gr00cp33yngs7q8exv","Husanboy Umirzoqov","seed:UZ1-2026-NEFTCHIF-020","seed://uz1/UZ1-2026-NEFTCHIF-020","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NEFTCHIF-020","Husanboy Umirzoqov","Neftchi Fergana","MF","2026",""
"cmtr671k400l133ynse4x0ksz","Ibrahim Rakhimov","seed:UZ1-2026-LOKOMOTI-035","seed://uz1/UZ1-2026-LOKOMOTI-035","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-035","Ibrahim Rakhimov","Lokomotiv Tashkent","MF","2026",""
"cmtr671e0007l33yn6kinyybw","Iskandar Shoikulov","seed:UZ1-2026-MASHALMU-017","seed://uz1/UZ1-2026-MASHALMU-017","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-017","Iskandar Shoikulov","Mashal Muborak","MF","2026",""
"cmtr671ie00gf33yn1wxuecaz","Ivan Josovic","seed:UZ1-2026-KOKAND19-013","seed://uz1/UZ1-2026-KOKAND19-013","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-KOKAND19-013","Ivan Josovic","Kokand 1912","DF","2026",""
"cmtr671ke00lz33yn5us3u1l5","Izzatov","seed:UZ1-2026-XORAZMUR-002","seed://uz1/UZ1-2026-XORAZMUR-002","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-XORAZMUR-002","Izzatov","Xorazm Urganch","MF","2026",""
"cmtr671jn00jn33yn1h60rrej","Jahongir Hoshimboyev","seed:UZ1-2026-LOKOMOTI-009","seed://uz1/UZ1-2026-LOKOMOTI-009","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-009","Jahongir Hoshimboyev","Lokomotiv Tashkent","GK","2026",""
